DecimalYear,Declination,Inclination,Hor,Total,X,Y,Z
1976.58493,-2.23555,64.09145,20622.0,47196.7,20606.3,-804.4,42453.1
1976.68493,-2.22222,64.09133,20623.3,47199.6,20607.8,-799.7,42455.6
1976.78493,-2.20889,64.09121,20624.6,47202.4,20609.3,-794.9,42458.2
1976.88493,-2.19557,64.09108,20626.0,47205.3,20610.8,-790.2,42460.7
1976.98493,-2.18224,64.09096,20627.3,47208.1,20612.3,-785.4,42463.2
1977.08493,-2.16892,64.09083,20628.6,47211.0,20613.9,-780.7,42465.7
1977.18493,-2.1556,64.09071,20630.0,47213.8,20615.4,-776.0,42468.2
1977.28493,-2.14228,64.09058,20631.3,47216.7,20616.9,-771.2,42470.8
1977.38493,-2.12896,64.09045,20632.7,47219.5,20618.4,-766.5,42473.3
1977.48493,-2.11565,64.09032,20634.0,47222.4,20619.9,-761.7,42475.8
1977.58493,-2.10234,64.09019,20635.4,47225.3,20621.5,-757.0,42478.3
1977.68493,-2.08903,64.09005,20636.7,47228.1,20623.0,-752.3,42480.8
1977.78493,-2.07572,64.08992,20638.0,47231.0,20624.5,-747.5,42483.3
1977.88493,-2.06241,64.08978,20639.4,47233.8,20626.0,-742.8,42485.9
1977.98493,-2.0491,64.08965,20640.7,47236.7,20627.5,-738.0,42488.4
1978.08493,-2.0358,64.08951,20642.1,47239.5,20629.1,-733.3,42490.9
1978.18493,-2.02249,64.08937,20643.4,47242.4,20630.6,-728.5,42493.4
1978.28493,-2.00919,64.08923,20644.8,47245.2,20632.1,-723.8,42495.9
1978.38493,-1.99589,64.08909,20646.2,47248.1,20633.6,-719.1,42498.5
1978.48493,-1.9826,64.08894,20647.5,47251.0,20635.1,-714.3,42501.0
1978.58493,-1.9693,64.0888,20648.9,47253.8,20636.7,-709.6,42503.5
1978.68493,-1.95601,64.08866,20650.2,47256.7,20638.2,-704.8,42506.0
1978.78493,-1.94272,64.08851,20651.6,47259.5,20639.7,-700.1,42508.5
1978.88493,-1.92943,64.08836,20652.9,47262.4,20641.2,-695.4,42511.1
1978.98493,-1.91614,64.08821,20654.3,47265.3,20642.7,-690.6,42513.6
1979.08493,-1.90285,64.08806,20655.7,47268.1,20644.3,-685.9,42516.1
1979.18493,-1.88956,64.08791,20657.0,47271.0,20645.8,-681.1,42518.6
1979.28493,-1.87628,64.08776,20658.4,47273.8,20647.3,-676.4,42521.1
1979.38493,-1.863,64.08761,20659.7,47276.7,20648.8,-671.6,42523.7
1979.48493,-1.84972,64.08745,20661.1,47279.6,20650.3,-666.9,42526.2
1979.58493,-1.83644,64.0873,20662.5,47282.4,20651.9,-662.2,42528.7
1979.68493,-1.82316,64.08714,20663.8,47285.3,20653.4,-657.4,42531.2
1979.78493,-1.80989,64.08698,20665.2,47288.2,20654.9,-652.7,42533.7
1979.88493,-1.79662,64.08682,20666.6,47291.0,20656.4,-647.9,42536.3
1979.98493,-1.78335,64.08666,20668.0,47293.9,20658.0,-643.2,42538.8
1980.08493,-1.77132,64.08702,20668.5,47295.8,20658.7,-638.9,42540.6
